,cardname,text,cmc,type
9497,Bellowing Aegisaur,"Enrage — Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control.",6.0,Creature — Dinosaur
9498,Mageta's Boon,"Flash
Enchant creature
Enchanted creature gets +1/+2.",2.0,Enchantment — Aura
9499,Hidden Volcano,"Hidden Volcano enters the battlefield tapped.
{T}: Add {R}.
{4}{R}, {T}, Sacrifice Hidden Volcano: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",0.0,Land — Cave
9500,Bandage,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.",1.0,Instant
9501,Geist-Honored Monk,"Vigilance
Geist-Honored Monk's power and toughness are each equal to the number of creatures you control.
When Geist-Honored Monk enters the battlefield, create two 1/1 white Spirit creature tokens with flying.",5.0,Creature — Human Monk
9502,Lore Weaver,"Partner with Ley Weaver (When this creature enters the battlefield, target player may put Ley Weaver into their hand from their library, then shuffle.)
{5}{U}{U}: Target player draws two cards.",4.0,Creature — Human Wizard
9503,Lantern Flare,"Cleave {X}{R}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Lantern Flare deals X damage to target creature or planeswalker and you gain X life. [X is the number of creatures you control.]",2.0,Instant
9504,Emissary of Sunrise,"First strike
When Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",3.0,Creature — Human Cleric
9505,Glowering Rogon,"Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each Beast card you reveal in your hand.)",6.0,Creature — Beast
9506,Pyrophobia,Pyrophobia deals 3 damage to target creature. Cowards can't block this turn.,2.0,Sorcery
9507,Hormagaunt Horde,"Ravenous (This creature enters the battlefield with X +1/+1 counters on it. If X is 5 or more, draw a card when it enters.)
Endless Swarm — Whenever a land enters the battlefield under your control, you may pay {2}{G}. If you do, return Hormagaunt Horde from your graveyard to your hand.",1.0,Creature — Tyranid
9508,Alpha Brawl,"Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature.",8.0,Sorcery
9509,Intercessor's Arrest,"Enchant permanent
Enchanted permanent can't attack, block, or crew Vehicles. Its activated abilities can't be activated unless they're mana abilities.",3.0,Enchantment — Aura
9510,Igneous Golem,{2}: Igneous Golem gains trample until end of turn.,5.0,Artifact Creature — Golem
9511,Hanabi Blast,"Hanabi Blast deals 2 damage to any target. Return Hanabi Blast to its owner's hand, then discard a card at random.",3.0,Instant
9512,Magus of the Balance,"{4}{W}, {T}, Sacrifice Magus of the Balance: Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.",2.0,Creature — Human Wizard
9513,Bloodthorn Flail,"Equipped creature gets +2/+1.
Equip—Pay {3} or discard a card.",1.0,Artifact — Equipment
9514,Pouncing Wurm,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If Pouncing Wurm was kicked, it enters the battlefield with three +1/+1 counters on it and with haste.",4.0,Creature — Wurm
9515,Hobblefiend,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
{1}, Sacrifice another creature: Put a +1/+1 counter on Hobblefiend.",2.0,Creature — Devil
9516,Casting of Bones,"Enchant creature
When enchanted creature dies, draw three cards, then discard one of them.",3.0,Enchantment — Aura
9517,"Bristly Bill, Spine Sower","Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on target creature.
{3}{G}{G}: Double the number of +1/+1 counters on each creature you control.",2.0,Legendary Creature — Plant Druid
9518,Mindwrack Liege,"Other blue creatures you control get +1/+1.
Other red creatures you control get +1/+1.
{U/R}{U/R}{U/R}{U/R}: You may put a blue or red creature card from your hand onto the battlefield.",6.0,Creature — Horror
9519,Fleeting Distraction,"Target creature gets -1/-0 until end of turn.
Draw a card.",1.0,Instant
9520,Contortionist Troupe,"Contortionist Troupe enters the battlefield with X +1/+1 counters on it.
Coven — At the beginning of your end step, if you control three or more creatures with different powers, put a +1/+1 counter on target creature you control.",1.0,Creature — Human
9521,Font of Ire,"{3}{R}, Sacrifice Font of Ire: It deals 5 damage to target player or planeswalker.",2.0,Enchantment
9522,Willow Elf,,1.0,Creature — Elf
9523,Heartless Summoning,"Creature spells you cast cost {2} less to cast.
Creatures you control get -1/-1.",2.0,Enchantment
9524,Initiate's Companion,"Whenever Initiate's Companion deals combat damage to a player, untap target creature or land.",2.0,Creature — Cat
9525,Rise // Fall,None,4.0,Sorcery // Sorcery
9526,Timecrafting,"Choose one —
• Remove X time counters from target permanent or suspended card.
• Put X time counters on target permanent with a time counter on it or suspended card.",1.0,Instant
9527,Pixie Guide,"Flying
Grant an Advantage — If you would roll one or more dice, instead roll that many dice plus one and ignore the lowest roll.",2.0,Creature — Faerie
9528,Leyline of the Void,"If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield.
If a card would be put into an opponent's graveyard from anywhere, exile it instead.",4.0,Enchantment
9529,Dream Twist,"Target player mills three cards.
Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1.0,Instant
9530,Fury Charm,"Choose one —
• Destroy target artifact.
• Target creature gets +1/+1 and gains trample until end of turn.
• Remove two time counters from target permanent or suspended card.",2.0,Instant
9531,Badlands Revival,Return up to one target creature card from your graveyard to the battlefield. Return up to one target permanent card from your graveyard to your hand.,5.0,Sorcery
9532,Vagrant Plowbeasts,{1}: Regenerate target creature with power 5 or greater.,7.0,Creature — Beast
9533,Fallaji Excavation,"Create three tapped Powerstone tokens. You gain 3 life. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",5.0,Sorcery
9534,Eye of Ugin,"Colorless Eldrazi spells you cast cost {2} less to cast.
{7}, {T}: Search your library for a colorless creature card, reveal it, put it into your hand, then shuffle.",0.0,Legendary Land
9535,Ruthless Winnower,"At the beginning of each player's upkeep, that player sacrifices a non-Elf creature.",5.0,Creature — Elf Rogue
9536,Chaos Mutation,"Exile any number of target creatures controlled by different players. For each creature exiled this way, its controller reveals cards from the top of their library until they reveal a creature card, puts that card onto the battlefield, then puts the rest on the bottom of their library in a random order.",5.0,Instant
9537,Captivating Vampire,"Other Vampire creatures you control get +1/+1.
Tap five untapped Vampires you control: Gain control of target creature. It becomes a Vampire in addition to its other types.",3.0,Creature — Vampire
9538,Bishop of Binding,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield.
Whenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card.",4.0,Creature — Vampire Cleric
9539,Lightning Strike,Lightning Strike deals 3 damage to any target.,2.0,Instant
9540,Jedit Ojanen of Efrava,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Whenever Jedit Ojanen of Efrava attacks or blocks, create a 2/2 green Cat Warrior creature token with forestwalk.",6.0,Legendary Creature — Cat Warrior
9541,"Kydele, Chosen of Kruphix","{T}: Add {C} for each card you've drawn this turn.
Partner (You can have two commanders if both have partner.)",4.0,Legendary Creature — Human Wizard
9542,Inner Sanctum,"Cumulative upkeep—Pay 2 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Prevent all damage that would be dealt to creatures you control.",3.0,Enchantment
9543,Vile Deacon,"Whenever Vile Deacon attacks, it gets +X/+X until end of turn, where X is the number of Clerics on the battlefield.",4.0,Creature — Human Cleric
9544,Eight-and-a-Half-Tails,"{1}{W}: Target permanent you control gains protection from white until end of turn.
{1}: Target spell or permanent becomes white until end of turn.",2.0,Legendary Creature — Fox Cleric
9545,Tidal Surge,Tap up to three target creatures without flying.,2.0,Sorcery
9546,Chosen by Heliod,"Enchant creature
When Chosen by Heliod enters the battlefield, draw a card.
Enchanted creature gets +0/+2.",2.0,Enchantment — Aura
9547,Burning Sun's Avatar,"When Burning Sun's Avatar enters the battlefield, it deals 3 damage to target opponent or planeswalker and 3 damage to up to one target creature.",6.0,Creature — Dinosaur Avatar
9548,Surging Sentinels,"First strike
Ripple 4 (When you cast this spell, you may reveal the top four cards of your library. You may cast spells with the same name as this spell from among those cards without paying their mana costs. Put the rest on the bottom of your library.)",3.0,Creature — Human Soldier
9549,Nissa's Encouragement,"Search your library and graveyard for a card named Forest, a card named Brambleweft Behemoth, and a card named Nissa, Genesis Mage. Reveal those cards, put them into your hand, then shuffle.",5.0,Sorcery
9550,Expendable Lackey,"{1}{U}, Exile Expendable Lackey from your graveyard: Create a 1/1 blue Fish creature token with ""This creature can't be blocked."" Activate only as a sorcery.",1.0,Creature — Human Citizen
9551,Unblinking Bleb,"Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Whenever Unblinking Bleb or another permanent is turned face up, you may scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",4.0,Creature — Illusion
9552,Elspeth's Nightmare,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Destroy target creature an opponent controls with power 2 or less.
II — Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.
III — Exile target opponent's graveyard.",3.0,Enchantment — Saga
9553,Swab Goblin,,2.0,Creature — Goblin Pirate
